t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
0.0000,0.9848,0.0134,0.0000,0.0011,0.0007,0.0001,0.0000,0.0000,0.2138,0.1774
0.0423,0.9962,0.0024,0.0000,0.0008,0.0006,0.0000,0.0000,0.0000,0.2073,0.1651
0.0846,0.9987,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1097,0.1630
0.1269,0.9996,0.0003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1307,0.1223
0.1692,0.9974,0.0025,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.1106,0.1745
0.2115,0.9921,0.0078,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0753,0.2426
0.2538,0.9975,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0663,0.1359
0.2960,0.9883,0.0115,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0931,0.1469
0.3383,0.9936,0.0062,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0459,0.1302
0.3806,0.9988,0.0011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0146,0.1336
0.4229,0.9998,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0697,0.1224
0.4652,0.9998,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1233,0.0980
0.5075,0.9952,0.0041,0.0000,0.0000,0.0000,0.0002,0.0005,0.0000,0.1080,0.0602
0.5498,0.9969,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1059,0.1276
0.5921,0.9867,0.0132,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1029,0.1681
0.6344,0.9994,0.0006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0411,0.1303
0.6767,0.9912,0.0073,0.0000,0.0001,0.0013,0.0001,0.0000,0.0000,0.1319,0.1186
0.7190,0.6632,0.3328,0.0000,0.0023,0.0016,0.0001,0.0000,0.0000,0.1828,0.1943
0.7613,0.9995,0.0003,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0899,0.0509
0.8035,0.9998,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0794,0.0880
0.8458,0.9993,0.0000,0.0002,0.0000,0.0000,0.0003,0.0002,0.0000,0.0045,-0.1393
0.8881,0.9967,0.0029,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0180,0.0522
0.9304,0.9991,0.0008,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0813,0.0788
0.9727,0.8495,0.1502,0.0000,0.0002,0.0000,0.0001,0.0001,0.0000,0.1856,0.1886
1.0150,0.9763,0.0236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1436,0.2025
1.0573,0.9660,0.0339,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1480,0.1918
1.0996,0.9756,0.0244,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0937,0.1972
1.1419,0.9900,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1315,0.1506
1.1842,0.9988,0.0010,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.1540,0.1352
1.2265,0.9989,0.0009,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.1797,0.1898
1.2688,0.9875,0.0029,0.0001,0.0000,0.0000,0.0086,0.0010,0.0000,0.0192,-0.0502
1.3111,0.9771,0.0219,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,-0.0755,0.0569
1.3533,0.9949,0.0026,0.0001,0.0000,0.0000,0.0023,0.0000,0.0000,-0.0886,-0.0422
1.3956,0.6332,0.3605,0.0002,0.0000,0.0000,0.0061,0.0000,0.0000,-0.0863,0.0589
1.4379,0.8500,0.1350,0.0003,0.0000,0.0000,0.0144,0.0002,0.0000,-0.0506,0.0147
1.4802,0.7179,0.2630,0.0000,0.0000,0.0000,0.0190,0.0001,0.0000,-0.0271,0.0868
1.5225,0.9026,0.0040,0.0003,0.0000,0.0000,0.0895,0.0035,0.0000,0.0265,-0.1351
1.5648,0.9847,0.0066,0.0002,0.0000,0.0000,0.0081,0.0004,0.0000,-0.0302,-0.0529
1.6071,0.9707,0.0191,0.0002,0.0000,0.0000,0.0092,0.0009,0.0000,-0.0016,-0.0215
1.6494,0.9958,0.0017,0.0001,0.0000,0.0000,0.0023,0.0000,0.0000,-0.0481,-0.0434
1.6917,0.9128,0.0826,0.0002,0.0000,0.0000,0.0043,0.0001,0.0000,-0.0290,0.0509
1.7340,0.9973,0.0017,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,-0.0360,-0.0016
1.7763,0.9799,0.0147,0.0003,0.0000,0.0000,0.0051,0.0000,0.0000,-0.0521,-0.0137
1.8186,0.9945,0.0047,0.0001,0.0000,0.0000,0.0007,0.0000,0.0000,-0.0380,0.0148
1.8608,0.9985,0.0013,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,-0.0598,0.0530
1.9031,0.9985,0.0010,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,-0.0282,0.0076
1.9454,0.9898,0.0090,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,-0.0119,0.0448
1.9877,0.9830,0.0162,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000,-0.0569,0.0675
2.0300,0.9995,0.0003,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0388,0.0575
2.0723,0.9923,0.0051,0.0000,0.0000,0.0000,0.0024,0.0001,0.0000,0.0154,0.0185
2.1146,0.9986,0.0004,0.0000,0.0000,0.0000,0.0007,0.0003,0.0000,-0.0074,-0.0255
2.1569,0.9929,0.0033,0.0000,0.0000,0.0000,0.0036,0.0001,0.0000,-0.0042,-0.0201
2.1992,0.9720,0.0226,0.0000,0.0000,0.0000,0.0051,0.0003,0.0000,0.0602,0.0482
2.2415,0.9978,0.0008,0.0002,0.0000,0.0000,0.0011,0.0000,0.0000,-0.0681,-0.0577
2.2838,0.9985,0.0010,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,-0.0680,-0.0070
2.3261,0.9976,0.0015,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,-0.0364,-0.0046
2.3684,0.9943,0.0048,0.0001,0.0000,0.0000,0.0007,0.0001,0.0000,-0.0333,0.0019
2.4106,0.9739,0.0230,0.0001,0.0000,0.0000,0.0028,0.0001,0.0000,0.0011,0.0264
2.4529,0.9809,0.0059,0.0015,0.0000,0.0000,0.0103,0.0014,0.0000,0.0250,-0.1071
2.4952,0.9368,0.0005,0.0530,0.0000,0.0004,0.0081,0.0012,0.0000,-0.0425,-0.2029
2.5375,0.5454,0.0004,0.3655,0.0003,0.0164,0.0435,0.0285,0.0000,0.0805,-0.2321
2.5798,0.8378,0.0005,0.1048,0.0004,0.0173,0.0280,0.0113,0.0000,0.1092,-0.1826
