t,Neutral,Happy,Sad,Surprise,Fear,Disgust,Anger,Contempt,arousal,valence
0.0000,0.9992,0.0001,0.0000,0.0004,0.0000,0.0003,0.0000,0.0000,0.0329,-0.0059
0.0418,0.9964,0.0019,0.0000,0.0001,0.0000,0.0017,0.0000,0.0000,0.0470,0.0314
0.0837,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0941,0.4289
0.1255,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0966,0.3881
0.1673,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1134,0.3821
0.2092,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0796,0.4078
0.2510,0.0001,0.9995,0.0000,0.0000,0.0000,0.0004,0.0000,0.0000,-0.0167,0.2611
0.2929,0.0000,0.9997,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,-0.0357,0.3430
0.3347,0.0001,0.9998,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0008,0.3100
0.3765,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0308,0.3946
0.4184,0.0000,0.9991,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0002,0.2773
0.4602,0.0000,0.9991,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0006,0.3488
0.5020,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0483,0.4864
0.5439,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0441,0.3931
0.5857,0.0001,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0491,0.3676
0.6276,0.0000,0.9995,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,-0.0337,0.3476
0.6694,0.0000,0.9999,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0393,0.4181
0.7112,0.0000,0.9997,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,-0.0026,0.4005
0.7531,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0781,0.5225
0.7949,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0582,0.4598
0.8367,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0783,0.5248
0.8786,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0594,0.4492
0.9204,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0981,0.5845
0.9623,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0411,0.4257
1.0041,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0649,0.4397
1.0459,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0819,0.4201
1.0878,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1421,0.4776
1.1296,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1042,0.3980
1.1714,0.0003,0.9997,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0977,0.2980
1.2133,0.0003,0.9995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,-0.1062,0.2365
1.2551,0.0008,0.9992,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0842,0.2800
1.2970,0.0019,0.9981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1098,0.2799
1.3388,0.0001,0.9998,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0994,0.3734
1.3806,0.0285,0.9706,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,-0.0539,0.1573
1.4225,0.0019,0.9981,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1139,0.3097
1.4643,0.0773,0.9132,0.0000,0.0000,0.0000,0.0095,0.0000,0.0000,-0.0817,0.0459
1.5061,0.0444,0.9554,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.2298,0.2078
1.5480,0.3034,0.5675,0.0010,0.0000,0.0000,0.1279,0.0000,0.0002,-0.0629,-0.1086
1.5898,0.1461,0.8467,0.0002,0.0000,0.0000,0.0070,0.0000,0.0000,-0.1390,0.0538
1.6316,0.0009,0.9991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1731,0.3913
1.6735,0.0004,0.9996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1607,0.4167
1.7153,0.0003,0.9996,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,-0.0796,0.2965
1.7572,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.1628,0.6871
1.7990,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0822,0.5318
